Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 392000 | Order = 0.014251309786033749 | Time = 98s
Step 393000 | Order = 0.014991845909499146 | Time = 98s
Step 394000 | Order = 0.005375456282566307 | Time = 98s
Step 395000 | Order = 0.016724260203361208 | Time = 98s
Step 396000 | Order = 0.0040323978086367618 | Time = 99s
Step 397000 | Order = 0.0090534183410870654 | Time = 99s
Step 398000 | Order = 0.021111652468267052 | Time = 99s
Step 399000 | Order = 0.016451254178032355 | Time = 99s
Step 400000 | Order = 0.0017469935153400862 | Time = 100s
Step 401000 | Order = 0.013976088125388787 | Time = 100s
Step 402000 | Order = 0.016117942777402555 | Time = 100s
Step 403000 | Order = 0.027484634544598138 | Time = 100s
Step 404000 | Order = 0.0039483988831359833 | Time = 101s
Step 405000 | Order = 0.013626969085670198 | Time = 101s
Step 406000 | Order = 0.01660782169054846 | Time = 101s
Step 407000 | Order = 0.018588135282566368 | Time = 101s
Step 408000 | Order = 0.011634334143219714 | Time = 102s
Step 409000 | Order = 0.0077986784895769995 | Time = 102s
Step 410000 | Order = 0.01112321825268592 | Time = 102s
Step 411000 | Order = 0.010779283999427545 | Time = 102s
Step 412000 | Order = 0.011132895847361511 | Time = 103s
Step 413000 | Order = 0.013894215884678382 | Time = 103s
Step 414000 | Order = 0.018656098319839977 | Time = 103s
Step 415000 | Order = 0.021738799943865659 | Time = 103s
Step 416000 | Order = 0.0098304089371987376 | Time = 104s
Step 417000 | Order = 0.015558713397108253 | Time = 104s
Step 418000 | Order = 0.011174883580944758 | Time = 104s
Step 419000 | Order = 0.02198225710265184 | Time = 104s
Step 420000 | Order = 0.010580972948441958 | Time = 105s
Step 421000 | Order = 0.0054844408875246529 | Time = 105s
Step 422000 | Order = 0.0096080784195809975 | Time = 105s
Step 423000 | Order = 0.018101038466116132 | Time = 105s
Step 424000 | Order = 0.0053885913120286563 | Time = 105s
Step 425000 | Order = 0.0086477617957346035 | Time = 106s
Step 426000 | Order = 0.0084844479207892114 | Time = 106s
Step 427000 | Order = 0.0049671743560464618 | Time = 106s
Step 428000 | Order = 0.01312960482265815 | Time = 106s
Step 429000 | Order = 0.0093444456430481996 | Time = 107s
Step 430000 | Order = 0.036448944405630228 | Time = 107s
Step 431000 | Order = 0.012672591248884438 | Time = 107s
Step 432000 | Order = 0.014774618043381978 | Time = 108s
