Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 376000 | Order = 0.60806982766560547 | Time = 113s
Step 377000 | Order = 0.56993676696931317 | Time = 114s
Step 378000 | Order = 0.65711311283919827 | Time = 114s
Step 379000 | Order = 0.61660210105017477 | Time = 114s
Step 380000 | Order = 0.65205157478221698 | Time = 114s
Step 381000 | Order = 0.52608544646195854 | Time = 115s
Step 382000 | Order = 0.56858154487370027 | Time = 115s
Step 383000 | Order = 0.59832510900705438 | Time = 115s
Step 384000 | Order = 0.64101972095632131 | Time = 116s
Step 385000 | Order = 0.50726217298943144 | Time = 116s
Step 386000 | Order = 0.58714305322894367 | Time = 116s
Step 387000 | Order = 0.66684692634410359 | Time = 116s
Step 388000 | Order = 0.62171975293098714 | Time = 117s
Step 389000 | Order = 0.63292710279812159 | Time = 117s
Step 390000 | Order = 0.60665597420432082 | Time = 117s
Step 391000 | Order = 0.67876777462426918 | Time = 118s
Step 392000 | Order = 0.62385749219180964 | Time = 118s
Step 393000 | Order = 0.63582196924123158 | Time = 118s
Step 394000 | Order = 0.65311315102905343 | Time = 119s
Step 395000 | Order = 0.65448904561451349 | Time = 119s
Step 396000 | Order = 0.62291299636190056 | Time = 119s
Step 397000 | Order = 0.64100332560849727 | Time = 119s
Step 398000 | Order = 0.66650003159499782 | Time = 120s
Step 399000 | Order = 0.61752629853969676 | Time = 120s
Step 400000 | Order = 0.57341887107141409 | Time = 120s
Step 401000 | Order = 0.67032328108393513 | Time = 121s
Step 402000 | Order = 0.62095558474770873 | Time = 121s
Step 403000 | Order = 0.61090420504577136 | Time = 121s
Step 404000 | Order = 0.66700188740638711 | Time = 122s
Step 405000 | Order = 0.63246870651167653 | Time = 122s
Step 406000 | Order = 0.59862090513589261 | Time = 122s
Step 407000 | Order = 0.63387942307104916 | Time = 122s
Step 408000 | Order = 0.6329256312652346 | Time = 123s
Step 409000 | Order = 0.62630372242000987 | Time = 123s
Step 410000 | Order = 0.62044580278038652 | Time = 123s
Step 411000 | Order = 0.63832428975363265 | Time = 124s
Step 412000 | Order = 0.60661099964025167 | Time = 124s
Step 413000 | Order = 0.6963178268463851 | Time = 124s
Step 414000 | Order = 0.63904255415803579 | Time = 125s
Step 415000 | Order = 0.60909152772375574 | Time = 125s
Step 416000 | Order = 0.57699461969703958 | Time = 125s
Step 417000 | Order = 0.63453858795495222 | Time = 125s
Step 418000 | Order = 0.62318762087295487 | Time = 126s
Step 419000 | Order = 0.63915819165472376 | Time = 126s
Step 420000 | Order = 0.66912492179388405 | Time = 126s
Step 421000 | Order = 0.65437950561690306 | Time = 127s
Step 422000 | Order = 0.5801290206940648 | Time = 127s
Step 423000 | Order = 0.62350931127336173 | Time = 127s
Step 424000 | Order = 0.60688234185711432 | Time = 128s
Step 425000 | Order = 0.614699464882554 | Time = 128s
Step 426000 | Order = 0.55981718357547072 | Time = 128s
Step 427000 | Order = 0.66039633960984068 | Time = 128s
Step 428000 | Order = 0.66783477820871862 | Time = 129s
Step 429000 | Order = 0.60802941985349468 | Time = 129s
Step 430000 | Order = 0.66833004810573782 | Time = 129s
Step 431000 | Order = 0.68820340090425025 | Time = 130s
Step 432000 | Order = 0.6163427626773581 | Time = 130s
Step 433000 | Order = 0.61308513714395474 | Time = 130s
Step 434000 | Order = 0.61504064151360327 | Time = 131s
